building_id,room_id,room_name,Hour,Length of Class,building_name,abbr_building_name,class_number,Full Name of Space
45,603,Court 05,765,120,BYU-Idaho Center,,Court,Court
45,604,Court 06,390,60,BYU-Idaho Center,,Court,Court
45,604,Court 06,990,195,BYU-Idaho Center,,Court,Court
45,604,Court 06,660,120,BYU-Idaho Center,,Court,Court
45,605,Court 07,390,60,BYU-Idaho Center,,Court,Court
45,605,Court 07,675,15,BYU-Idaho Center,,Court,Court
45,605,Court 07,960,165,BYU-Idaho Center,,Court,Court
45,605,Court 07,765,120,BYU-Idaho Center,,Court,Court
45,605,Court 07,1125,15,BYU-Idaho Center,,Court,Court
45,606,Court 08,390,60,BYU-Idaho Center,,Court,Court
45,606,Court 08,990,135,BYU-Idaho Center,,Court,Court
45,606,Court 08,660,120,BYU-Idaho Center,,Court,Court
45,606,Court 08,1125,15,BYU-Idaho Center,,Court,Court
45,607,Court 09,1050,90,BYU-Idaho Center,,Court,Court
45,607,Court 09,660,120,BYU-Idaho Center,,Court,Court
45,608,Court 10,1185,15,BYU-Idaho Center,,Court,Court
45,608,Court 10,1050,90,BYU-Idaho Center,,Court,Court
45,608,Court 10,660,120,BYU-Idaho Center,,Court,Court
45,635,Courts 1-10,465,60,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,390,60,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,390,60,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,390,60,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,390,60,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,1185,15,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,675,15,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,675,15,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,1050,90,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,1050,90,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,900,285,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,990,195,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,960,165,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,990,135,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,390,60,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,390,60,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,660,120,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,660,120,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,660,120,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,660,120,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,660,120,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,765,120,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,765,120,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,765,120,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,1125,15,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,1125,15,BYU-Idaho Center,,Courts,Courts
