building_id,room_id,room_name,Hour,Length of Class
5,1320,215-L1 Swimming Pool - Lane 1,465,60
5,1320,215-L1 Swimming Pool - Lane 1,960,390
5,1321,215-L2 Swimming Pool - Lane 2,360,60
5,1321,215-L2 Swimming Pool - Lane 2,540,120
5,1321,215-L2 Swimming Pool - Lane 2,825,45
5,1321,215-L2 Swimming Pool - Lane 2,690,60
5,1321,215-L2 Swimming Pool - Lane 2,765,60
5,1321,215-L2 Swimming Pool - Lane 2,465,60
5,1321,215-L2 Swimming Pool - Lane 2,960,390
5,1322,215-L3 Swimming Pool - Lane 3,360,60
5,1322,215-L3 Swimming Pool - Lane 3,540,120
5,1322,215-L3 Swimming Pool - Lane 3,825,45
5,1322,215-L3 Swimming Pool - Lane 3,690,60
5,1322,215-L3 Swimming Pool - Lane 3,765,60
5,1322,215-L3 Swimming Pool - Lane 3,465,60
5,1322,215-L3 Swimming Pool - Lane 3,960,390
5,1323,215-L4 Swimming Pool - Lane 4,360,60
5,1323,215-L4 Swimming Pool - Lane 4,540,120
5,1323,215-L4 Swimming Pool - Lane 4,825,45
5,1323,215-L4 Swimming Pool - Lane 4,690,60
5,1323,215-L4 Swimming Pool - Lane 4,765,60
5,1323,215-L4 Swimming Pool - Lane 4,465,60
5,1323,215-L4 Swimming Pool - Lane 4,960,390
5,1324,215-L5 Swimming Pool - Lane 5,360,60
5,1324,215-L5 Swimming Pool - Lane 5,540,120
5,1324,215-L5 Swimming Pool - Lane 5,825,45
5,1324,215-L5 Swimming Pool - Lane 5,690,60
5,1324,215-L5 Swimming Pool - Lane 5,765,60
5,1324,215-L5 Swimming Pool - Lane 5,465,60
5,1324,215-L5 Swimming Pool - Lane 5,960,390
5,1325,215-L6 Swimming Pool - Lane 6,360,60
5,1325,215-L6 Swimming Pool - Lane 6,540,120
5,1325,215-L6 Swimming Pool - Lane 6,825,45
5,1325,215-L6 Swimming Pool - Lane 6,690,60
5,1325,215-L6 Swimming Pool - Lane 6,765,60
5,1325,215-L6 Swimming Pool - Lane 6,465,60
5,1325,215-L6 Swimming Pool - Lane 6,960,390
5,193,234 Fitness Studio,1020,60
5,193,234 Fitness Studio,1080,60
5,193,234 Fitness Studio,1140,60
5,193,234 Fitness Studio,1260,60
5,193,234 Fitness Studio,1200,60
5,193,234 Fitness Studio,690,120
5,193,234 Fitness Studio,465,60
5,193,234 Fitness Studio,840,60
5,193,234 Fitness Studio,540,60
5,193,234 Fitness Studio,615,60
5,194,250 Auditorium (gym/stage combo),60,1350
5,429,250 Hart Gym,60,1350
5,428,250B Hart Stage,60,1350
6,147,145 Classroom,765,60
6,147,145 Classroom,840,60
6,147,145 Classroom,615,60
6,147,145 Classroom,690,60
6,147,145 Classroom,1065,60
6,148,157 Classroom,465,60
6,148,157 Classroom,540,60
6,148,157 Classroom,615,60
6,148,157 Classroom,765,60
6,148,157 Classroom,840,60
6,148,157 Classroom,1065,60
6,148,157 Classroom,690,60
6,149,171 Classroom,915,60
6,149,171 Classroom,840,60
6,149,171 Classroom,690,60
6,149,171 Classroom,1065,60
6,149,171 Classroom,765,60
6,150,185 Classroom,765,60
6,150,185 Classroom,840,60
6,150,185 Classroom,615,60
6,150,185 Classroom,690,60
6,150,185 Classroom,1065,60
6,151,203 Classroom,1140,90
6,151,203 Classroom,615,60
6,151,203 Classroom,465,60
6,151,203 Classroom,1065,60
6,151,203 Classroom,540,60
6,151,203 Classroom,765,60
6,151,203 Classroom,840,60
6,151,203 Classroom,915,60
6,151,203 Classroom,690,60
6,153,209 Classroom,1110,120
6,153,209 Classroom,840,60
6,153,209 Classroom,615,60
6,153,209 Classroom,690,60
6,154,221 Classroom,1110,210
6,154,221 Classroom,615,60
6,154,221 Classroom,540,60
6,154,221 Classroom,765,60
6,154,221 Classroom,690,60
6,154,221 Classroom,465,60
6,155,227 Classroom,1140,90
6,155,227 Classroom,765,60
6,155,227 Classroom,540,60
6,155,227 Classroom,615,60
6,155,227 Classroom,840,60
6,155,227 Classroom,1065,60
6,155,227 Classroom,690,60
6,870,240/260 Chapel and One Overflow Section,690,60
6,870,240/260 Chapel and One Overflow Section,765,60
6,870,240/260 Chapel and One Overflow Section,1005,60
6,870,240/260 Chapel and One Overflow Section,1125,15
6,447,240/260/270 Chapel and Overflow,915,60
